3rd Party Model,Direct Comparison,Recomended Replacement
P3905,CD42/CM42,CM42 or CD42-E
P1344,CB52,CB52-E
SNC-DH180,CM22,CM42
SNC-DH180,CM22,CM42
SNC-DH180,CM22,CM42
Q1602,CB52,CB52-E
Q1602,CB52,CB52-E
Q1602,CB52,CB52-E
Q1604,CB52,CB52-E
P3227-LV,CD42,CD42
Q1602,CB52,CB52-E
Q1604,CB52,CB52-E
Q1604,CB52,CB52-E
Q1604,CB52,CB52-E
Q1604,CB52,CB52-E
P1405-LE,CB52,CB52-E
M4318-PLVE B8A44F9795FC,CF81-E,CF81-E
M4318-PLVE B8A44F74FCC0,CF81-E,CF81-E
NER-L2 3b67f2,CB52,CB52-E
M3027 ACCC8E3F0AA3 (4 views),CF81-E,CF81-E
DS-2CD2143G0-I 20200429AAWRE38852244,CD42-E,CD42-E
DS-2CD2143G0-I 20200415AAWRE28308673,CD42-E,CD42-E
DS-2CD2143G0-I 20200415AAWRE28307877,CD42-E,CD42-E
HES324-MB 20200806AAWR244994772,CB52,CB52-E
HES324-MB 20200806AAWR244994639,CB52,CB52-E
HES324-MB 20200806AAWR244994461,CB52,CB52-E
P1447-LE ACCC8ED2C522,CB52,CB52-E
DS-2CD2752F-IZS 20170218BBWR717557147,CD22,CD52
DS-2CD2752F-IZS 20170218BBWR717557192,CD22,CD52
DS-2CD2752F-IZS 20170218BBWR717557140,CD22,CD52
DS-2CD2752F-IZS 20170211BBWR713516953,CD22,CD52
P3265-LVWE B8A44F9ED3F3,CD22,CD42
DS-2CD2752F-IZS 20170218BBWR717557111,CD22,CD52
DS-2CD2752F-IZS 20170218BBWR717557131,CD22,CD52
DS-2CD2143G0-I 20190924AAWRD66059729,CD42-E,CD42-E
P3225-V Mk II ACCC8EC7A3AA,CD52,CD52
P3225-V Mk II ACCC8EC7A3B3,CD52,CD52
P3245-LVE ACCC8EF039FE,CD62,CD62
P3717-PLE B8A44F0707E1,CH52,CH52
Q1602 ACCC8E110083,CB52,CB52-E
NER-L2 3b67f7,CB52,CB52-E
HES324-MB 20200806AAWR244994341,CB52,CB52-E
P1447-LE ACCC8ED2C585,CB52,CB52-E
P1447-LE ACCC8EF288DF,CB52,CB52-E
M3066-V B8A44F1BF2C1,CD42,CD42
P1447-LE ACCC8ED2C528,CB52,CB52-E
P1447-LE ACCC8EF28921,CB52,CB52-E
P1447-LE ACCC8EF28993,CB52,CB52-E
DS-2CD2145FWD-I 20201111AAWRF10284575,CD42,CD42
DT085G 20210112AAWRE96879530,CB62-E,CB62-E
DT085G 20210112AAWRE96879429,CB62-E,CB62-E
DS-2CD2143G0-I 20210103AAWRF35835620,CD42-E,CD42-E
M2026-LE Mk II B8A44F26ED40,CB52,CB52-E
M3075-V B8A44F33745C,CD42-E,CD42-E
P1343,CB52,CB52-E
Q1647,CB52,CB52-E
P3247-LVE,CD42-E,CD42-E
P3247-LVE,CD42-E,CD42-E
P3247-LVE,CD42-E,CD42-E
P3247-LVE,CD42-E,CD42-E
P3247-LVE,CD42-E,CD42-E
P3247-LVE,CD42-E,CD42-E